Euler 0.01:
x[i]	y[i]	Ans(y[i])	Difference
0	2	0	0
0.01	1.997490556138923	0.010000059986071008	-5.998607100800302E-08
0.02	1.9949620363869363	0.020000120693857593	-1.2069385759219675E-07
0.03	1.9924141069294492	0.030000182143273157	-1.8214327315857481E-07
0.04	1.98984642455162	0.04000024435500382	-2.4435500382141706E-07
0.05	1.9872586362694293	0.05000030735055416	-3.073505541600907E-07
0.060000000000000005	1.9846503789420633	0.06000037115227874	-3.711522787372412E-07
0.07	1.9820212788644382	0.07000043578343496	-4.357834349488776E-07
0.08	1.9793709513386146	0.08000050126822567	-5.012682256638756E-07
0.09	1.976699000222754	0.09000056763184894	-5.676318489411525E-07
0.09999999999999999	1.9740050174561674	0.10000063490055311	-6.349005531175456E-07
0.10999999999999999	1.9712885825588962	0.11000070310169141	-7.031016914238464E-07
0.11999999999999998	1.96854926210414	0.12000077226378458	-7.722637846013791E-07
0.12999999999999998	1.9657866091617189	0.1300008424165804	-8.424165804099548E-07
0.13999999999999999	1.963000162710604	0.1400009135911282	-9.135911282209808E-07
0.15	1.9601894470184043	0.15000098581984922	-9.85819849225189E-07
0.16	1.9573539709855114	0.1600010591366141	-1.059136614106615E-06
0.17	1.9544932274514217	0.17000113357682967	-1.1335768296538706E-06
0.18000000000000002	1.9516066924605464	0.1800012091775267	-1.2091775266898086E-06
0.19000000000000003	1.9486938244845873	0.1900012859774587	-1.2859774586593264E-06
0.20000000000000004	1.9457540635983104	0.2000013640172038	-1.364017203769885E-06
0.21000000000000005	1.942786830605267	0.21000144333927606	-1.4433392760138108E-06
0.22000000000000006	1.9397915261097112	0.22000152398824646	-1.5239882464046506E-06
0.23000000000000007	1.9367675295306253	0.23000160601087138	-1.6060108713189525E-06
0.24000000000000007	1.9337141980533914	0.2400016894562298	-1.6894562297198323E-06
0.25000000000000006	1.9306308655142386	0.25000177437587423	-1.7743758741750604E-06
0.26000000000000006	1.927516841212138	0.2600018608239951	-1.8608239950590466E-06
0.2700000000000001	1.9243714086423145	0.27000194885758955	-1.948857589473274E-06
0.2800000000000001	1.9211938241449817	0.2800020385366553	-2.038536655202261E-06
0.2900000000000001	1.9179833154622816	0.290002129924392	-2.129924391913729E-06
0.3000000000000001	1.9147390801957167	0.3000022230874264	-2.2230874263118316E-06
0.3100000000000001	1.9114602841555857	0.3100023180960494	-2.3180960492807934E-06
0.3200000000000001	1.908146059593063	0.32000241502448024	-2.4150244801179888E-06
0.3300000000000001	1.9047955033045967	0.3300025139511513	-2.5139511511951262E-06
0.34000000000000014	1.9014076745972017	0.34000261495901674	-2.614959016600249E-06
0.35000000000000014	1.8979815931020092	0.35000271813589245	-2.7181358923100696E-06
0.36000000000000015	1.8945162364220474	0.36000282357482627	-2.823574826116282E-06
0.37000000000000016	1.8910105375986783	0.37000293137450324	-2.9313745030790095E-06
0.38000000000000017	1.8874633823793583	0.38000304163968446	-3.0416396842869453E-06
0.3900000000000002	1.883873606267398	0.39000315448170175	-3.154481701572731E-06
0.4000000000000002	1.8802399913321455	0.4000032700189857	-3.270018985535028E-06
0.4100000000000002	1.8765612627554455	0.41000338837765815	-3.388377657953523E-06
0.4200000000000002	1.8728360850873065	0.4200035096921799	-3.509692179715085E-06
0.4300000000000002	1.8690630581803624	0.43000363410606957	-3.634106069350107E-06
0.4400000000000002	1.8652407127688995	0.44000376177269374	-3.7617726935113005E-06
0.45000000000000023	1.8613675056538153	0.4500038928561536	-3.892856153375757E-06
0.46000000000000024	1.8574418144498397	0.46000402753225567	-4.02753225542396E-06
0.47000000000000025	1.853461931845504	0.4700041659896028	-4.165989602566977E-06
0.48000000000000026	1.849426059319607	0.48000430843080677	-4.30843080651E-06
0.49000000000000027	1.8453323002500999	0.49000445507384516	-4.455073844888968E-06
0.5000000000000002	1.8411786523421911	0.500004606153579	-4.606153578778915E-06
0.5100000000000002	1.8369629992918504	0.5100047619234602	-4.761923459994932E-06
0.5200000000000002	1.8326831015884155	0.5200049226574488	-4.922657448558354E-06
0.5300000000000002	1.8283365863453707	0.5300050886521821	-5.088652181850506E-06
0.5400000000000003	1.8239209360310864	0.5400052602294241	-5.260229423820206E-06
0.5500000000000003	1.8194334759508575	0.5500054377388426	-5.437738842317685E-06
0.5600000000000003	1.8148713603072726	0.5600056215611797	-5.621561179447454E-06
0.5700000000000003	1.8102315566369356	0.5700058121118556	-5.812111855352242E-06
0.5800000000000003	1.805510828386797	0.5800060098451034	-6.009845103127631E-06
0.5900000000000003	1.8007057153515005	0.5900062152587151	-6.21525871480344E-06
0.6000000000000003	1.7958125116425263	0.6000064288995155	-6.428899515187325E-06
0.6100000000000003	1.7908272407983905	0.6100066513696865	-6.651369686139219E-06
0.6200000000000003	1.7857456275699657	0.6200068833341188	-6.8833341184681984E-06
0.6300000000000003	1.7805630658226275	0.6300071255289801	-7.12552897974561E-06
0.6400000000000003	1.7752745818827782	0.6400073787717471	-7.378771746724411E-06
0.6500000000000004	1.769874792514365	0.6500076439730043	-7.643973003901294E-06
0.6600000000000004	1.7643578565333722	0.6600079221503932	-7.922150392802862E-06
0.6700000000000004	1.7587174188443997	0.6700082144451693	-8.214445168963636E-06
0.6800000000000004	1.752946545399213	0.6800085221419845	-8.52214198410195E-06
0.6900000000000004	1.747037647213457	0.6900088466926311	-8.84669263068183E-06
0.7000000000000004	1.7409823911084013	0.7000091897447378	-9.189744737403416E-06
0.7100000000000004	1.7347715942334807	0.710009553176653	-9.553176652632445E-06
0.7200000000000004	1.7283950986219418	0.7200099391401515	-9.93914015112729E-06
0.7300000000000004	1.7218416209644978	0.7300103501131032	-1.035011310279721E-05
0.7400000000000004	1.7150985713517848	0.7400107889649297	-1.0788964929231426E-05
0.7500000000000004	1.7081518327859866	0.7500112590386467	-1.1259038646294073E-05
0.7600000000000005	1.700985490573994	0.7600117642546205	-1.1764254620016956E-05
0.7700000000000005	1.6935814969560405	0.7700123092430555	-1.23092430550642E-05
0.7800000000000005	1.6859192509847314	0.7800128995149385	-1.2899514937991796E-05
0.7900000000000005	1.677975065951687	0.7900135416850658	-1.3541685065288078E-05
0.8000000000000005	1.6697214852856699	0.8000142437665103	-1.4243766509824951E-05
0.8100000000000005	1.6611263907221019	0.8100150155643921	-1.5015564391651637E-05
0.8200000000000005	1.6521518201351015	0.8200158692095376	-1.5869209537111573E-05
0.8300000000000005	1.642752370577707	0.8300168198918365	-1.6819891835995193E-05
0.8400000000000005	1.6328729936989166	0.840017886882082	-1.7886882081485922E-05
0.8500000000000005	1.6224458749613762	0.8500190949738637	-1.9094973863209574E-05
0.8600000000000005	1.6113858839696575	0.8600204765362625	-2.0476536261915257E-05
0.8700000000000006	1.5995837055298392	0.8700220744326872	-2.2074432686647327E-05
0.8800000000000006	1.5868950208937203	0.880023946056059	-2.3946056058488097E-05
0.8900000000000006	1.5731225531651531	0.8900261682979993	-2.6168297998729884E-05
0.9000000000000006	1.557984224456268	0.9000288407624266	-2.8840762426041167E-05
