	Clump Thickness	Uniformity of Cell Size	Marginal adhesion	Mitoses
1	0.31494252873563217	0.8356481481481481	0.8211009174311926	0.9699074074074074
2	0.10344827586206896	0.08101851851851852	0.08027522935779817	0.018518518518518517
3	0.20919540229885059	0.05324074074074074	0.06651376146788991	0.004629629629629629
4	0.14482758620689656	0.018518518518518517	0.011467889908256881	0.0
5	0.18160919540229886	0.0	0.006880733944954129	0.0023148148148148147
6	0.034482758620689655	0.004629629629629629	0.009174311926605505	0.0
7	0.0022988505747126436	0.0023148148148148147	0.0	0.0023148148148148147
8	0.009195402298850575	0.0023148148148148147	0.0	0.0023148148148148147
9	0.0	0.0023148148148148147	0.0022935779816513763	0.0
10	0.0	0.0	0.0022935779816513763	0.0
