	Clump Thickness	Uniformity of Cell Size	Marginal adhesion	Mitoses
1	0.013452914798206279	0.018433179723502304	0.136986301369863	0.5739910313901345
2	0.013452914798206279	0.03686635944700461	0.091324200913242	0.11210762331838565
3	0.053811659192825115	0.1152073732718894	0.1050228310502283	0.12556053811659193
4	0.04932735426008968	0.1382488479262673	0.1187214611872146	0.04932735426008968
5	0.18834080717488788	0.12442396313364056	0.0867579908675799	0.017937219730941704
6	0.06726457399103139	0.10599078341013825	0.0776255707762557	0.013452914798206279
7	0.08968609865470852	0.06912442396313365	0.0502283105022831	0.026905829596412557
8	0.16591928251121077	0.1152073732718894	0.1050228310502283	0.03139013452914798
9	0.06278026905829596	0.018433179723502304	0.0136986301369863	0.0
10	0.29596412556053814	0.25806451612903225	0.2146118721461187	0.04932735426008968
