125	256	6000	256	16	128	198	199
29	8000	32000	32	8	32	269	253
29	8000	32000	32	8	32	220	253
29	8000	32000	32	8	32	172	253
29	8000	16000	32	8	16	132	132
26	8000	32000	64	8	32	318	290
23	16000	32000	64	16	32	367	381
23	16000	32000	64	16	32	489	381
23	16000	64000	64	16	32	636	749
23	32000	64000	128	32	64	1144	1238
400	1000	3000	0	1	2	38	23
400	512	3500	4	1	6	40	24
60	2000	8000	65	1	8	92	70
50	4000	16000	65	1	8	138	117
350	64	64	0	1	4	10	15
200	512	16000	0	4	32	35	64
167	524	2000	8	4	15	19	23
143	512	5000	0	7	32	28	29
143	1000	2000	0	5	16	31	22
110	5000	5000	142	8	64	120	124
143	1500	6300	0	5	32	30	35
143	3100	6200	0	5	20	33	39
143	2300	6200	0	6	64	61	40
110	3100	6200	0	6	64	76	45
320	128	6000	0	1	12	23	28
320	512	2000	4	1	3	69	21
320	256	6000	0	1	6	33	28
320	256	3000	4	1	3	27	22
320	512	5000	4	1	5	77	28
320	256	5000	4	1	6	27	27
25	1310	2620	131	12	24	274	102
25	1310	2620	131	12	24	368	102
50	2620	10480	30	12	24	32	74
50	2620	10480	30	12	24	63	74
56	5240	20970	30	12	24	106	138
64	5240	20970	30	12	24	208	136
50	500	2000	8	1	4	20	23
50	1000	4000	8	1	5	29	29
50	2000	8000	8	1	5	71	44
50	1000	4000	8	3	5	26	30
50	1000	8000	8	3	5	36	41
50	2000	16000	8	3	5	40	74
50	2000	16000	8	3	6	52	74
50	2000	16000	8	3	6	60	74
133	1000	12000	9	3	12	72	54
133	1000	8000	9	3	12	72	41
810	512	512	8	1	1	18	18
810	1000	5000	0	1	1	20	28
320	512	8000	4	1	5	40	36
200	512	8000	8	1	8	62	38
